,Date_of_Journey,Route,Dep_Time,Arrival_Time,Duration,Additional_Info,Price,Airline_en,Source_en,Destination_en,Route_en,Additional_Info_en,Total_Stops_en,Duration_en,Dep_Time_Full,Arr_Time_Full,Date_of_Journey_Timestamp,Date_of_Journey_Dayname,Date_of_Journey_Dayname_en,Weekday_vs_Weekend,Departure_Hour,Departure_Minute,Arrival_Hour,Arrival_Minute,Part_of_Day,Part_of_Day_en,Airline_Air Asia,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Banglore,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Banglore,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Total_Stops_1 stop,Total_Stops_2 stops,Total_Stops_3 stops,Total_Stops_4 stops,Total_Stops_non-stop
13,2019-05-09,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,In-flight meal not included,9663,4,3,0,66,5,0,730,2019-05-09 21:10:00,2019-10-05 09:20:00,1557360000.0,Thursday,4,1,21,10,9,20,Night,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
14,2019-04-24,CCU → BLR,17:15,19:50,2h 35m,Null,4804,3,3,0,64,7,4,155,2019-04-24 17:15:00,2019-04-24 19:50:00,1556064000.0,Wednesday,6,1,17,15,19,50,Evening,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
15,2019-03-03,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,Null,14011,1,2,1,97,7,1,1595,2019-03-03 16:40:00,2019-04-03 19:15:00,1551571200.0,Sunday,3,0,16,40,19,15,Afternoon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
16,2019-04-15,DEL → PNQ → COK,08:45,13:15,4h 30m,Null,5830,8,2,1,123,7,0,270,2019-04-15 08:45:00,2019-04-15 13:15:00,1555286400.0,Monday,1,1,8,45,13,15,Morning,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
17,2019-06-12,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,In-flight meal not included,10262,4,2,1,104,5,0,1355,2019-06-12 14:00:00,2019-06-13 12:35:00,1560297600.0,Wednesday,6,1,14,0,12,35,Afternoon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
18,2019-06-12,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,Null,13381,1,2,1,105,7,1,1380,2019-06-12 20:15:00,2019-06-13 19:15:00,1560297600.0,Wednesday,6,1,20,15,19,15,Evening,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
19,2019-05-27,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,In-flight meal not included,12898,4,2,1,104,5,0,1235,2019-05-27 16:00:00,2019-05-28 12:35:00,1558915200.0,Monday,1,1,16,0,12,35,Afternoon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
20,2019-03-06,DEL → BOM → COK,14:10,19:20,5h 10m,Null,19495,2,2,1,104,7,0,310,2019-03-06 14:10:00,2019-03-06 19:20:00,1551830400.0,Wednesday,6,1,14,10,19,20,Afternoon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
21,2019-03-21,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,Null,6955,1,0,5,17,7,0,920,2019-03-21 22:00:00,2019-03-19 13:20:00,1553126400.0,Thursday,4,1,22,0,13,20,Night,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
22,2019-04-03,BLR → DEL,04:00,06:50,2h 50m,Null,3943,3,0,2,18,7,4,170,2019-04-03 04:00:00,2019-04-03 06:50:00,1554249600.0,Wednesday,6,1,4,0,6,50,Night,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23,2019-05-01,BLR → DEL,18:55,21:50,2h 55m,Null,4823,3,0,2,18,7,4,175,2019-05-01 18:55:00,2019-05-01 21:50:00,1556668800.0,Wednesday,6,1,18,55,21,50,Evening,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,2019-05-06,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,In-flight meal not included,7757,4,3,0,66,5,0,800,2019-05-06 18:55:00,2019-07-05 08:15:00,1557100800.0,Monday,1,1,18,55,8,15,Evening,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
25,2019-06-09,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,Null,13292,4,2,1,113,7,1,910,2019-06-09 21:25:00,2019-10-06 12:35:00,1560038400.0,Sunday,3,0,21,25,12,35,Night,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
26,2019-06-01,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,Null,8238,3,2,1,119,7,0,345,2019-06-01 21:50:00,2019-02-06 03:35:00,1559347200.0,Saturday,2,0,21,50,3,35,Night,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
27,2019-05-15,DEL → BOM → COK,07:00,12:55,5h 55m,Null,7682,2,2,1,104,7,0,355,2019-05-15 07:00:00,2019-05-15 12:55:00,1557878400.0,Wednesday,6,1,7,0,12,55,Morning,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
28,2019-06-18,BLR → DEL,09:45,12:35,2h 50m,Null,4668,10,0,2,18,7,4,170,2019-06-18 09:45:00,2019-06-18 12:35:00,1560816000.0,Tuesday,5,1,9,45,12,35,Morning,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29,2019-06-15,MAA → CCU,07:05,09:20,2h 15m,Null,3687,10,1,4,127,7,4,135,2019-06-15 07:05:00,2019-06-15 09:20:00,1560556800.0,Saturday,2,0,7,5,9,20,Morning,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30,2019-06-18,MAA → CCU,07:05,09:20,2h 15m,Null,3687,10,1,4,127,7,4,135,2019-06-18 07:05:00,2019-06-18 09:20:00,1560816000.0,Tuesday,5,1,7,5,9,20,Morning,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,2019-05-01,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,Null,13227,1,3,0,78,7,1,805,2019-05-01 09:50:00,2019-05-01 23:15:00,1556668800.0,Wednesday,6,1,9,50,23,15,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
32,2019-04-06,BLR → DEL,04:00,06:50,2h 50m,Null,4423,3,0,2,18,7,4,170,2019-04-06 04:00:00,2019-04-06 06:50:00,1554508800.0,Saturday,2,0,4,0,6,50,Night,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33,2019-06-15,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,In-flight meal not included,10919,4,2,1,122,5,1,1320,2019-06-15 14:35:00,2019-06-16 12:35:00,1560556800.0,Saturday,2,0,14,35,12,35,Afternoon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
34,2019-05-18,DEL → BOM → COK,07:05,12:35,5h 30m,In-flight meal not included,12373,4,2,1,104,5,0,330,2019-05-18 07:05:00,2019-05-18 12:35:00,1558137600.0,Saturday,2,0,7,5,12,35,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
35,2019-06-27,DEL → BOM → COK,10:35,21:00,10h 25m,Null,5894,3,2,1,104,7,0,625,2019-06-27 10:35:00,2019-06-27 21:00:00,1561593600.0,Thursday,4,1,10,35,21,0,Morning,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
36,2019-05-21,CCU → MAA → BLR,15:05,20:20,5h 15m,Null,4649,8,3,0,90,7,0,315,2019-05-21 15:05:00,2019-05-21 20:20:00,1558396800.0,Tuesday,5,1,15,5,20,20,Afternoon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
37,2019-05-18,CCU → BLR,14:15,16:45,2h 30m,Null,6245,1,3,0,64,7,4,150,2019-05-18 14:15:00,2019-05-18 16:45:00,1558137600.0,Saturday,2,0,14,15,16,45,Afternoon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
38,2019-03-06,BLR → BOM → DEL,07:00,13:15,6h 15m,Null,19225,4,0,5,5,7,0,375,2019-03-06 07:00:00,2019-03-06 13:15:00,1551830400.0,Wednesday,6,1,7,0,13,15,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
39,2019-06-03,DEL → BOM → COK,07:05,19:00,11h 55m,Null,14924,4,2,1,104,7,0,715,2019-06-03 07:05:00,2019-06-03 19:00:00,1559520000.0,Monday,1,1,7,5,19,0,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
40,2019-05-21,DEL → HYD → COK,07:05,18:10,11h 5m,Null,9646,6,2,1,111,7,0,665,2019-05-21 07:05:00,2019-05-21 18:10:00,1558396800.0,Tuesday,5,1,7,5,18,10,Morning,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
41,2019-03-15,BLR → BOM → DEL,06:45,15:15,8h 30m,Null,8714,1,0,5,5,7,0,510,2019-03-15 06:45:00,2019-03-15 15:15:00,1552608000.0,Friday,0,1,6,45,15,15,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
42,2019-05-18,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,In-flight meal not included,12373,4,2,1,104,5,0,1325,2019-05-18 20:55:00,2019-05-19 19:00:00,1558137600.0,Saturday,2,0,20,55,19,0,Evening,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
43,2019-05-06,BLR → DEL,11:10,13:55,2h 45m,Null,3383,0,0,2,18,7,4,165,2019-05-06 11:10:00,2019-05-06 13:55:00,1557100800.0,Monday,1,1,11,10,13,55,Morning,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,2019-03-21,DEL → BOM → COK,09:00,21:00,12h,Null,13062,6,2,1,104,7,0,720,2019-03-21 09:00:00,2019-03-21 21:00:00,1553126400.0,Thursday,4,1,9,0,21,0,Morning,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
45,2019-03-24,BLR → DEL,05:45,08:35,2h 50m,No check-in baggage included,3527,8,0,5,18,6,4,170,2019-03-24 05:45:00,2019-03-24 08:35:00,1553385600.0,Sunday,3,0,5,45,8,35,Morning,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
46,2019-05-27,BLR → DEL,04:00,06:50,2h 50m,Null,3943,3,0,2,18,7,4,170,2019-05-27 04:00:00,2019-05-27 06:50:00,1558915200.0,Monday,1,1,4,0,6,50,Night,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,2019-05-03,MAA → CCU,11:40,13:55,2h 15m,Null,4667,1,1,4,127,7,4,135,2019-05-03 11:40:00,2019-05-03 13:55:00,1556841600.0,Friday,0,1,11,40,13,55,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
48,2019-05-15,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,Null,6117,1,3,0,80,7,0,965,2019-05-15 19:00:00,2019-05-16 11:05:00,1557878400.0,Wednesday,6,1,19,0,11,5,Evening,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
49,2019-06-27,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,In-flight meal not included,11150,4,2,1,97,5,1,1195,2019-06-27 23:05:00,2019-06-28 19:00:00,1561593600.0,Thursday,4,1,23,5,19,0,Night,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
50,2019-03-09,DEL → COK,11:00,14:15,3h 15m,In-flight meal not included,7202,4,2,1,106,5,4,195,2019-03-09 11:00:00,2019-03-09 14:15:00,1552089600.0,Saturday,2,0,11,0,14,15,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
51,2019-05-01,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,Null,12121,4,3,0,73,7,0,1520,2019-05-01 09:35:00,2019-02-05 10:55:00,1556668800.0,Wednesday,6,1,9,35,10,55,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
52,2019-03-24,BLR → DEL,22:20,01:10 28 Mar,2h 50m,Null,4377,3,0,5,18,7,4,170,2019-03-24 22:20:00,2019-03-28 01:10:00,1553385600.0,Sunday,3,0,22,20,1,10,Night,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
53,2019-06-18,BLR → DEL,21:15,00:15 19 Jun,3h,Null,3943,3,0,2,18,7,4,180,2019-06-18 21:15:00,2019-06-19 00:15:00,1560816000.0,Tuesday,5,1,21,15,0,15,Night,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
54,2019-04-03,BLR → DEL,23:55,02:45 04 Apr,2h 50m,Null,4483,0,0,2,18,7,4,170,2019-04-03 23:55:00,2019-04-04 02:45:00,1554249600.0,Wednesday,6,1,23,55,2,45,Night,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,2019-03-24,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,Null,14231,4,3,0,66,7,0,975,2019-03-24 19:45:00,2019-03-25 12:00:00,1553385600.0,Sunday,3,0,19,45,12,0,Evening,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
56,2019-03-01,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,Null,17345,1,0,5,3,7,1,905,2019-03-01 08:50:00,2019-03-01 23:55:00,1551398400.0,Friday,0,1,8,50,23,55,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
57,2019-03-06,MAA → CCU,07:05,09:20,2h 15m,Null,7414,10,1,4,127,7,4,135,2019-03-06 07:05:00,2019-03-06 09:20:00,1551830400.0,Wednesday,6,1,7,5,9,20,Morning,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
58,2019-05-06,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,Null,8073,6,2,1,104,7,0,390,2019-05-06 19:00:00,2019-07-05 01:30:00,1557100800.0,Monday,1,1,19,0,1,30,Evening,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
59,2019-03-06,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,Null,12395,10,4,3,45,7,0,1505,2019-03-06 15:40:00,2019-07-03 16:45:00,1551830400.0,Wednesday,6,1,15,40,16,45,Afternoon,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
60,2019-06-06,CCU → BOM → BLR,09:25,21:50,12h 25m,Null,8366,1,3,0,66,7,0,745,2019-06-06 09:25:00,2019-06-06 21:50:00,1559779200.0,Thursday,4,1,9,25,21,50,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
61,2019-04-03,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,Null,5117,1,2,1,121,7,0,1640,2019-04-03 06:05:00,2019-04-04 09:25:00,1554249600.0,Wednesday,6,1,6,5,9,25,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
62,2019-06-03,DEL → BOM → COK,08:45,19:00,10h 15m,Null,12524,6,2,1,104,7,0,615,2019-06-03 08:45:00,2019-06-03 19:00:00,1559520000.0,Monday,1,1,8,45,19,0,Morning,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
63,2019-05-15,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,Null,7191,3,2,1,104,7,0,630,2019-05-15 15:00:00,2019-05-16 01:30:00,1557878400.0,Wednesday,6,1,15,0,1,30,Afternoon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
64,2019-05-24,MAA → CCU,07:05,09:20,2h 15m,Null,3687,10,1,4,127,7,4,135,2019-05-24 07:05:00,2019-05-24 09:20:00,1558656000.0,Friday,0,1,7,5,9,20,Morning,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
65,2019-06-24,DEL → BOM → COK,10:35,21:00,10h 25m,Null,5894,3,2,1,104,7,0,625,2019-06-24 10:35:00,2019-06-24 21:00:00,1561334400.0,Monday,1,1,10,35,21,0,Morning,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
66,2019-04-24,BLR → DEL,09:45,12:35,2h 50m,Null,5403,10,0,2,18,7,4,170,2019-04-24 09:45:00,2019-04-24 12:35:00,1556064000.0,Wednesday,6,1,9,45,12,35,Morning,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,2019-05-06,BOM → HYD,13:55,15:25,1h 30m,Null,3625,1,4,3,48,7,4,90,2019-05-06 13:55:00,2019-05-06 15:25:00,1557100800.0,Monday,1,1,13,55,15,25,Afternoon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
68,2019-05-21,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,Null,10861,1,2,1,102,7,1,800,2019-05-21 05:55:00,2019-05-21 19:15:00,1558396800.0,Tuesday,5,1,5,55,19,15,Morning,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
69,2019-03-12,MAA → CCU,13:20,15:35,2h 15m,Null,6297,3,1,4,127,7,4,135,2019-03-12 13:20:00,2019-03-12 15:35:00,1552348800.0,Tuesday,5,1,13,20,15,35,Afternoon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
70,2019-06-01,BOM → HYD,07:05,08:30,1h 25m,Null,5678,4,4,3,48,7,4,85,2019-06-01 07:05:00,2019-06-01 08:30:00,1559347200.0,Saturday,2,0,7,5,8,30,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
71,2019-03-09,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,In-flight meal not included,9134,4,0,5,5,5,0,1590,2019-03-09 05:45:00,2019-03-13 08:15:00,1552089600.0,Saturday,2,0,5,45,8,15,Morning,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
72,2019-06-24,DEL → BOM → COK,11:40,19:00,7h 20m,In-flight meal not included,10791,6,2,1,104,5,0,440,2019-06-24 11:40:00,2019-06-24 19:00:00,1561334400.0,Monday,1,1,11,40,19,0,Morning,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
73,2019-06-24,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,Null,12819,4,2,1,97,7,1,810,2019-06-24 23:05:00,2019-06-25 12:35:00,1561334400.0,Monday,1,1,23,5,12,35,Night,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
74,2019-03-21,DEL → BLR → COK,05:05,10:05,5h,Null,6893,3,2,1,103,7,0,300,2019-03-21 05:05:00,2019-03-21 10:05:00,1553126400.0,Thursday,4,1,5,5,10,5,Morning,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
75,2019-03-09,BLR → DEL,09:50,12:35,2h 45m,Null,7240,10,0,5,18,7,4,165,2019-03-09 09:50:00,2019-03-09 12:35:00,1552089600.0,Saturday,2,0,9,50,12,35,Morning,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
